fighter_url,fight_url,referee,significant_strikes_landed,significant_strikes_attempted,significant_strike_accuracy,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,takedown_accuracy,knockdowns,submission_attempts,reversals,control_time_seconds,significant_strike_accuracy_opponent
c21f26bbde777573,2eecf0c36192e40c,Marc Goddard,50,67,0.74,36,49,1,5,13,13,15,26,2,4,33,37,51,70,0,2,0.0,1,0,0,80,0.74
8a65fd9ba31fd3f7,2eecf0c36192e40c,Marc Goddard,20,47,0.42,8,35,6,6,6,6,15,39,4,6,1,2,28,59,0,0,,0,0,0,81,0.42
def8166ff24bd237,58080e8989927500,Herb Dean,55,174,0.31,30,138,20,29,5,7,54,173,0,0,1,1,100,225,0,2,0.0,0,0,0,8,0.31
cb696ebfb6598724,58080e8989927500,Herb Dean,124,227,0.54,77,175,21,26,26,26,100,198,7,7,17,22,153,262,3,6,0.5,0,0,0,235,0.54
f14cf73e51b29254,5538d15c4eeac3b3,Marc Goddard,61,133,0.45,35,104,12,14,14,15,60,131,1,2,0,0,63,136,0,3,0.0,0,0,0,8,0.45
fc08099550072fe4,5538d15c4eeac3b3,Marc Goddard,45,117,0.38,27,88,4,10,14,19,45,114,0,3,0,0,45,117,0,0,,0,0,0,0,0.38
3cf18e01cb6cbde3,ce6bd165bef82bd7,Vitor Ribeiro,73,129,0.56,33,75,17,25,23,29,67,121,6,8,0,0,91,150,0,5,0.0,0,0,0,17,0.56
34b96d52db1d26e6,ce6bd165bef82bd7,Vitor Ribeiro,16,44,0.36,7,30,5,7,4,7,10,37,6,7,0,0,23,51,0,5,0.0,0,0,0,209,0.36
7498b3ac79a3b948,1452c20d964c0a63,Marc Goddard,27,38,0.71,25,35,2,3,0,0,2,3,0,0,25,35,31,42,1,3,0.33,0,0,0,191,0.71
4729c93ba705a3bf,1452c20d964c0a63,Marc Goddard,2,3,0.66,1,1,1,1,0,1,2,3,0,0,0,0,11,12,0,1,0.0,0,0,0,8,0.66
8c1ca54b5089d199,0b1460c666e66d39,Herb Dean,66,150,0.44,42,118,12,18,12,14,60,143,6,7,0,0,79,166,0,7,0.0,0,0,0,12,0.44
b2a78df161bd67f9,0b1460c666e66d39,Herb Dean,112,200,0.56,64,138,23,32,25,30,103,189,8,10,1,1,131,221,3,6,0.5,0,0,0,231,0.56
814e5233e2acf2ee,1ab1ed99a4bc5494,Jim Perdios,44,81,0.54,18,49,6,10,20,22,37,71,4,6,3,4,52,89,1,5,0.2,1,0,0,32,0.54
bb2c3c3a466224af,1ab1ed99a4bc5494,Jim Perdios,59,120,0.49,32,83,21,26,6,11,53,111,6,9,0,0,60,121,1,2,0.5,0,1,1,59,0.49
a13d755965a4ec9f,f55749e32ce5c6f3,Vitor Ribeiro,101,197,0.51,65,154,21,28,15,15,98,189,3,8,0,0,104,201,0,0,,0,0,0,0,0.51
d2cd7a69cc55e7ed,f55749e32ce5c6f3,Vitor Ribeiro,75,226,0.33,43,169,30,54,2,3,71,215,4,10,0,1,77,228,2,12,0.16,0,0,0,62,0.33
595db60957de51d3,130e622d4d2aee3e,Marc Goddard,2,4,0.5,0,1,2,3,0,0,2,4,0,0,0,0,2,4,0,0,,0,0,0,0,0.5
