fighter_name,fighter_url,height_cm,weight_kg,reach_cm,stance,dob,age,wins,losses,draws,nc,total_fights,reach_to_height_ratio,record,significant_strikes_landed_per_minute,significant_strike_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defense,takedown_average_per_15_min,takedown_accuracy,takedown_defense,submission_average_per_15_min
Gabriel Bonfim,01641ba5df0c69b0,185,77,183,Orthodox,1997-08-20,28,18.0,1.0,0.0,,19,0.9891891891891892,18-1-0,4.54,45.0,3.53,,4.03,55.0,76.0,1.6
Dustin Poirier,029eaff01e6bb8f0,175,70,183,Southpaw,1989-01-19,36,30.0,10.0,0.0,1.0,41,1.0457142857142858,30-10-0 (1 NC),5.24,50.0,4.57,,1.15,35.0,64.0,1.2
Uran Satybaldiev,02f484417a6fa69d,193,93,201,Orthodox,1994-08-10,31,9.0,1.0,0.0,,10,1.0414507772020725,9-1-0,2.14,25.0,3.66,,0.0,0.0,50.0,1.7
Shara Magomedov,06734ca9d88dec3a,188,84,185,Orthodox,1994-05-16,31,16.0,1.0,0.0,,17,0.9840425531914894,16-1-0,5.93,62.0,3.85,,0.0,0.0,71.0,0.0
Daria Zhelezniakova,07047eb7d17fb0a2,175,61,173,Orthodox,1996-01-23,29,10.0,2.0,0.0,,12,0.9885714285714285,10-2-0,4.75,41.0,2.83,,0.44,100.0,50.0,0.0
Charles Oliveira,07225ba28ae309b6,178,70,188,Orthodox,1989-10-17,35,35.0,11.0,0.0,1.0,47,1.0561797752808988,35-11-0 (1 NC),3.41,55.0,3.26,,2.23,39.0,56.0,2.6
Billy Elekana,07a74004d964c7f4,190,93,196,Southpaw,1995-05-28,30,8.0,2.0,0.0,,10,1.0315789473684212,8-2-0,2.34,57.0,3.18,,0.64,25.0,0.0,0.0
Beneil Dariush,08af939f41b5a57b,178,70,183,Southpaw,1989-05-06,36,23.0,6.0,1.0,,30,1.0280898876404494,23-6-1,3.78,49.0,2.61,,2.12,38.0,82.0,0.8
Anthony Hernandez,093e1f5bb73850be,183,84,190,Orthodox,1993-10-18,31,15.0,2.0,0.0,1.0,18,1.0382513661202186,15-2-0 (1 NC),4.59,62.0,2.53,,6.46,48.0,68.0,1.8
Marcus Buchecha,095854a135e6db55,188,116,196,Orthodox,1990-01-08,35,5.0,2.0,0.0,,7,1.0425531914893618,5-2-0,1.6,40.0,2.73,,1.0,9.0,0.0,0.0
