event_name,event_date,city,state_or_region,country,event_url
UFC Fight Night: Imavov vs. Borralho,2025-09-06,Paris,Ile-de-France,France,6e380a4d73ab4f0e
UFC Fight Night: Walker vs. Zhang,2025-08-23,Shanghai,Hebei,China,754968e325d6f60d
UFC 319: Du Plessis vs. Chimaev,2025-08-16,Chicago,Illinois,USA,421ccfc6ddb17958
UFC Fight Night: Dolidze vs. Hernandez,2025-08-09,Las Vegas,Nevada,USA,6cd3dfc54f01287f
UFC Fight Night: Taira vs. Park,2025-08-02,Las Vegas,Nevada,USA,f2c934689243fe4e
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Abu Dhabi,Abu Dhabi,United Arab Emirates,28d8638ea0a71908
UFC 318: Holloway vs. Poirier 3,2025-07-19,New Orleans,Louisiana,USA,b8e2f10efb6eca85
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,Nashville,Tennessee,USA,7b03d9df5910917d
UFC 317: Topuria vs. Oliveira,2025-06-28,Las Vegas,Nevada,USA,66766984842c13dc
UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21,Baku,,Azerbaijan,400c7b43c86d27d3
