fighter_url,fight_url,Sig. str,Sig. str. %,Head,Body,Leg,Distance,Clinch,Ground
http://ufcstats.com/fighter-details/c21f26bbde777573,http://ufcstats.com/fight-details/2eecf0c36192e40c,50 of 67,74%,36 of 49,1 of 5,13 of 13,15 of 26,2 of 4,33 of 37
http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7,http://ufcstats.com/fight-details/2eecf0c36192e40c,20 of 47,42%,8 of 35,6 of 6,6 of 6,15 of 39,4 of 6,1 of 2
http://ufcstats.com/fighter-details/def8166ff24bd237,http://ufcstats.com/fight-details/58080e8989927500,55 of 174,31%,30 of 138,20 of 29,5 of 7,54 of 173,0 of 0,1 of 1
http://ufcstats.com/fighter-details/cb696ebfb6598724,http://ufcstats.com/fight-details/58080e8989927500,124 of 227,54%,77 of 175,21 of 26,26 of 26,100 of 198,7 of 7,17 of 22
http://ufcstats.com/fighter-details/f14cf73e51b29254,http://ufcstats.com/fight-details/5538d15c4eeac3b3,61 of 133,45%,35 of 104,12 of 14,14 of 15,60 of 131,1 of 2,0 of 0
http://ufcstats.com/fighter-details/fc08099550072fe4,http://ufcstats.com/fight-details/5538d15c4eeac3b3,45 of 117,38%,27 of 88,4 of 10,14 of 19,45 of 114,0 of 3,0 of 0
http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,http://ufcstats.com/fight-details/ce6bd165bef82bd7,73 of 129,56%,33 of 75,17 of 25,23 of 29,67 of 121,6 of 8,0 of 0
http://ufcstats.com/fighter-details/34b96d52db1d26e6,http://ufcstats.com/fight-details/ce6bd165bef82bd7,16 of 44,36%,7 of 30,5 of 7,4 of 7,10 of 37,6 of 7,0 of 0
http://ufcstats.com/fighter-details/7498b3ac79a3b948,http://ufcstats.com/fight-details/1452c20d964c0a63,27 of 38,71%,25 of 35,2 of 3,0 of 0,2 of 3,0 of 0,25 of 35
http://ufcstats.com/fighter-details/4729c93ba705a3bf,http://ufcstats.com/fight-details/1452c20d964c0a63,2 of 3,66%,1 of 1,1 of 1,0 of 1,2 of 3,0 of 0,0 of 0
http://ufcstats.com/fighter-details/8c1ca54b5089d199,http://ufcstats.com/fight-details/0b1460c666e66d39,66 of 150,44%,42 of 118,12 of 18,12 of 14,60 of 143,6 of 7,0 of 0
http://ufcstats.com/fighter-details/b2a78df161bd67f9,http://ufcstats.com/fight-details/0b1460c666e66d39,112 of 200,56%,64 of 138,23 of 32,25 of 30,103 of 189,8 of 10,1 of 1
http://ufcstats.com/fighter-details/814e5233e2acf2ee,http://ufcstats.com/fight-details/1ab1ed99a4bc5494,44 of 81,54%,18 of 49,6 of 10,20 of 22,37 of 71,4 of 6,3 of 4
http://ufcstats.com/fighter-details/bb2c3c3a466224af,http://ufcstats.com/fight-details/1ab1ed99a4bc5494,59 of 120,49%,32 of 83,21 of 26,6 of 11,53 of 111,6 of 9,0 of 0
http://ufcstats.com/fighter-details/a13d755965a4ec9f,http://ufcstats.com/fight-details/f55749e32ce5c6f3,101 of 197,51%,65 of 154,21 of 28,15 of 15,98 of 189,3 of 8,0 of 0
http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed,http://ufcstats.com/fight-details/f55749e32ce5c6f3,75 of 226,33%,43 of 169,30 of 54,2 of 3,71 of 215,4 of 10,0 of 1
http://ufcstats.com/fighter-details/595db60957de51d3,http://ufcstats.com/fight-details/130e622d4d2aee3e,2 of 4,50%,0 of 1,2 of 3,0 of 0,2 of 4,0 of 0,0 of 0
http://ufcstats.com/fighter-details/d6c0cdd7e467c440,http://ufcstats.com/fight-details/130e622d4d2aee3e,5 of 8,62%,5 of 8,0 of 0,0 of 0,1 of 1,0 of 0,4 of 7
http://ufcstats.com/fighter-details/3f11fd1751fa83b1,http://ufcstats.com/fight-details/f0b7caa90faf47e5,13 of 18,72%,10 of 15,0 of 0,3 of 3,9 of 12,2 of 3,2 of 3
http://ufcstats.com/fighter-details/7b3503352cd53abb,http://ufcstats.com/fight-details/f0b7caa90faf47e5,0 of 2,0%,0 of 1,0 of 0,0 of 1,0 of 2,0 of 0,0 of 0
http://ufcstats.com/fighter-details/86bace9e4ad85542,http://ufcstats.com/fight-details/2f6065fe0804d1d8,68 of 214,31%,53 of 169,7 of 21,8 of 24,38 of 173,30 of 41,0 of 0
http://ufcstats.com/fighter-details/a474aade8eb3a8f0,http://ufcstats.com/fight-details/2f6065fe0804d1d8,58 of 110,52%,44 of 94,10 of 11,4 of 5,47 of 95,11 of 15,0 of 0
http://ufcstats.com/fighter-details/02f484417a6fa69d,http://ufcstats.com/fight-details/7fc5f1dc2df84ac7,2 of 9,22%,1 of 4,0 of 4,1 of 1,2 of 8,0 of 0,0 of 1
http://ufcstats.com/fighter-details/709fadb644ee3f51,http://ufcstats.com/fight-details/7fc5f1dc2df84ac7,7 of 11,63%,1 of 3,3 of 5,3 of 3,7 of 11,0 of 0,0 of 0
http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,http://ufcstats.com/fight-details/12cedec11b37ddc0,13 of 29,44%,10 of 24,2 of 4,1 of 1,10 of 25,0 of 0,3 of 4
http://ufcstats.com/fighter-details/767755fd74662dbf,http://ufcstats.com/fight-details/12cedec11b37ddc0,37 of 47,78%,28 of 36,3 of 5,6 of 6,12 of 19,0 of 0,25 of 28
http://ufcstats.com/fighter-details/396fe87b84ac2e1c,http://ufcstats.com/fight-details/9fa6a029f7f8241c,8 of 16,50%,4 of 9,4 of 6,0 of 1,6 of 14,1 of 1,1 of 1
http://ufcstats.com/fighter-details/5537efc6e496dd84,http://ufcstats.com/fight-details/9fa6a029f7f8241c,13 of 29,44%,7 of 23,5 of 5,1 of 1,7 of 21,3 of 5,3 of 3
http://ufcstats.com/fighter-details/b997be68943010fc,http://ufcstats.com/fight-details/42585ce706c086de,25 of 49,51%,16 of 38,4 of 6,5 of 5,23 of 45,2 of 4,0 of 0
http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,http://ufcstats.com/fight-details/42585ce706c086de,32 of 60,53%,17 of 45,8 of 8,7 of 7,32 of 58,0 of 2,0 of 0
http://ufcstats.com/fighter-details/13a0275fa13c4d26,http://ufcstats.com/fight-details/9939d7073462e07e,20 of 57,35%,10 of 45,4 of 6,6 of 6,11 of 45,3 of 4,6 of 8
http://ufcstats.com/fighter-details/a67d071163962af8,http://ufcstats.com/fight-details/9939d7073462e07e,29 of 55,52%,19 of 45,8 of 8,2 of 2,27 of 53,2 of 2,0 of 0
http://ufcstats.com/fighter-details/c96d9178c9ed9e62,http://ufcstats.com/fight-details/82338ba457fbe87f,27 of 71,38%,18 of 43,2 of 18,7 of 10,26 of 69,0 of 0,1 of 2
http://ufcstats.com/fighter-details/d33da8a3d82bdb62,http://ufcstats.com/fight-details/82338ba457fbe87f,21 of 87,24%,17 of 79,3 of 7,1 of 1,21 of 87,0 of 0,0 of 0
http://ufcstats.com/fighter-details/d1feea7a4bdcd503,http://ufcstats.com/fight-details/5efd13a12be06706,36 of 62,58%,23 of 46,7 of 10,6 of 6,22 of 42,2 of 3,12 of 17
http://ufcstats.com/fighter-details/64b12fe31be7560c,http://ufcstats.com/fight-details/5efd13a12be06706,22 of 56,39%,17 of 51,5 of 5,0 of 0,18 of 47,4 of 9,0 of 0
http://ufcstats.com/fighter-details/6ac9bc2953c47345,http://ufcstats.com/fight-details/5b880d10b0ed7acc,3 of 16,18%,2 of 14,0 of 0,1 of 2,3 of 16,0 of 0,0 of 0
http://ufcstats.com/fighter-details/0d65c432720accb9,http://ufcstats.com/fight-details/5b880d10b0ed7acc,23 of 51,45%,18 of 46,5 of 5,0 of 0,11 of 31,0 of 0,12 of 20
http://ufcstats.com/fighter-details/6a1901c62ab3870f,http://ufcstats.com/fight-details/a2eafd9e1d5031b1,90 of 287,31%,58 of 242,21 of 31,11 of 14,87 of 279,3 of 8,0 of 0
http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7,http://ufcstats.com/fight-details/a2eafd9e1d5031b1,107 of 213,50%,91 of 195,12 of 14,4 of 4,94 of 195,11 of 16,2 of 2
http://ufcstats.com/fighter-details/971246648e162f0d,http://ufcstats.com/fight-details/1d8dc0fb5d47357f,20 of 82,24%,7 of 62,7 of 12,6 of 8,20 of 81,0 of 1,0 of 0
http://ufcstats.com/fighter-details/262a7d06203657e6,http://ufcstats.com/fight-details/1d8dc0fb5d47357f,17 of 38,44%,14 of 35,3 of 3,0 of 0,13 of 33,0 of 0,4 of 5
http://ufcstats.com/fighter-details/64a50dad704d1d49,http://ufcstats.com/fight-details/bc63f1b2e52f603e,71 of 120,59%,26 of 64,32 of 38,13 of 18,57 of 105,14 of 15,0 of 0
http://ufcstats.com/fighter-details/7cbf7c78d3b34218,http://ufcstats.com/fight-details/bc63f1b2e52f603e,53 of 102,51%,35 of 78,6 of 9,12 of 15,43 of 89,10 of 13,0 of 0
http://ufcstats.com/fighter-details/9d62c2d8ee151f08,http://ufcstats.com/fight-details/88020d22cf905792,26 of 70,37%,11 of 50,9 of 14,6 of 6,22 of 66,4 of 4,0 of 0
http://ufcstats.com/fighter-details/27b388f0aab49780,http://ufcstats.com/fight-details/88020d22cf905792,31 of 87,35%,11 of 62,15 of 19,5 of 6,26 of 80,4 of 5,1 of 2
http://ufcstats.com/fighter-details/30cad5a751adcb48,http://ufcstats.com/fight-details/68c423c7119004f3,28 of 56,50%,9 of 35,17 of 19,2 of 2,22 of 48,6 of 8,0 of 0
http://ufcstats.com/fighter-details/2fe9032955c2e013,http://ufcstats.com/fight-details/68c423c7119004f3,29 of 63,46%,15 of 44,13 of 18,1 of 1,18 of 47,9 of 12,2 of 4
http://ufcstats.com/fighter-details/327d5f279895110d,http://ufcstats.com/fight-details/68fe62bac7fd8bb0,36 of 107,33%,25 of 88,4 of 11,7 of 8,34 of 101,2 of 6,0 of 0
http://ufcstats.com/fighter-details/093e1f5bb73850be,http://ufcstats.com/fight-details/68fe62bac7fd8bb0,91 of 152,59%,67 of 128,6 of 6,18 of 18,48 of 102,13 of 18,30 of 32
http://ufcstats.com/fighter-details/32ab52e5de93092d,http://ufcstats.com/fight-details/37d58369782cb86b,20 of 53,37%,10 of 42,10 of 11,0 of 0,12 of 43,6 of 8,2 of 2
http://ufcstats.com/fighter-details/6d68c1afe954f121,http://ufcstats.com/fight-details/37d58369782cb86b,35 of 74,47%,20 of 53,4 of 7,11 of 14,29 of 68,1 of 1,5 of 5
http://ufcstats.com/fighter-details/abcf2cc6efc42031,http://ufcstats.com/fight-details/646c79a7ecd12e5f,72 of 151,47%,56 of 128,12 of 19,4 of 4,57 of 130,11 of 17,4 of 4
http://ufcstats.com/fighter-details/f0feeb2192937424,http://ufcstats.com/fight-details/646c79a7ecd12e5f,64 of 110,58%,42 of 84,19 of 23,3 of 3,52 of 92,12 of 18,0 of 0
http://ufcstats.com/fighter-details/8fd808923cffff82,http://ufcstats.com/fight-details/98d6771af9b0ebe5,64 of 182,35%,52 of 164,6 of 10,6 of 8,62 of 179,2 of 3,0 of 0
http://ufcstats.com/fighter-details/5ec591b78349ba7e,http://ufcstats.com/fight-details/98d6771af9b0ebe5,83 of 174,47%,49 of 130,8 of 13,26 of 31,69 of 157,13 of 16,1 of 1
http://ufcstats.com/fighter-details/46e0d677f91bacc0,http://ufcstats.com/fight-details/ed5383b50ffcdded,83 of 184,45%,70 of 170,12 of 13,1 of 1,78 of 175,5 of 8,0 of 1
http://ufcstats.com/fighter-details/ffd3224638c01b57,http://ufcstats.com/fight-details/ed5383b50ffcdded,95 of 233,40%,49 of 160,27 of 38,19 of 35,87 of 224,8 of 9,0 of 0
http://ufcstats.com/fighter-details/cad24459b28592ca,http://ufcstats.com/fight-details/75a84211f50c53f5,7 of 12,58%,2 of 7,4 of 4,1 of 1,4 of 9,3 of 3,0 of 0
http://ufcstats.com/fighter-details/a93f94c923c3a9cb,http://ufcstats.com/fight-details/75a84211f50c53f5,24 of 43,55%,9 of 26,3 of 4,12 of 13,20 of 37,3 of 3,1 of 3
http://ufcstats.com/fighter-details/6add18754930182b,http://ufcstats.com/fight-details/3d6571790c21527c,44 of 62,70%,26 of 43,9 of 10,9 of 9,18 of 26,4 of 9,22 of 27
http://ufcstats.com/fighter-details/09a4447655fd4b7b,http://ufcstats.com/fight-details/3d6571790c21527c,19 of 42,45%,15 of 37,0 of 1,4 of 4,19 of 42,0 of 0,0 of 0
http://ufcstats.com/fighter-details/7478b7f959ba61f5,http://ufcstats.com/fight-details/ae7a8f19743e8154,37 of 46,80%,35 of 44,2 of 2,0 of 0,1 of 3,0 of 0,36 of 43
http://ufcstats.com/fighter-details/148bb103cfbf123e,http://ufcstats.com/fight-details/ae7a8f19743e8154,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
http://ufcstats.com/fighter-details/f9ab66e67240db7b,http://ufcstats.com/fight-details/aef44145740741b3,26 of 44,59%,16 of 29,5 of 10,5 of 5,24 of 42,0 of 0,2 of 2
http://ufcstats.com/fighter-details/b1e5bcaad32a3cac,http://ufcstats.com/fight-details/aef44145740741b3,18 of 50,36%,15 of 47,1 of 1,2 of 2,18 of 50,0 of 0,0 of 0
http://ufcstats.com/fighter-details/681399317dbf4701,http://ufcstats.com/fight-details/7d923267c44dd93b,5 of 9,55%,4 of 8,1 of 1,0 of 0,3 of 7,1 of 1,1 of 1
http://ufcstats.com/fighter-details/b12fb759e02378de,http://ufcstats.com/fight-details/7d923267c44dd93b,5 of 10,50%,3 of 7,1 of 2,1 of 1,5 of 10,0 of 0,0 of 0
http://ufcstats.com/fighter-details/a6eb54ae17a551be,http://ufcstats.com/fight-details/6ef50ed03b116b60,59 of 114,51%,38 of 91,15 of 17,6 of 6,58 of 112,1 of 2,0 of 0
http://ufcstats.com/fighter-details/a78a87d8c2bbb1cb,http://ufcstats.com/fight-details/6ef50ed03b116b60,61 of 161,37%,28 of 117,13 of 20,20 of 24,56 of 154,5 of 7,0 of 0
http://ufcstats.com/fighter-details/f14f644d41ade29f,http://ufcstats.com/fight-details/857e8facd8ff7c36,31 of 65,47%,26 of 57,3 of 5,2 of 3,19 of 45,12 of 20,0 of 0
http://ufcstats.com/fighter-details/9508cc6184cb2450,http://ufcstats.com/fight-details/857e8facd8ff7c36,26 of 72,36%,18 of 58,7 of 13,1 of 1,16 of 53,10 of 19,0 of 0
http://ufcstats.com/fighter-details/4461d7e47375a895,http://ufcstats.com/fight-details/282c8c6c1ed82bfb,7 of 11,63%,6 of 10,0 of 0,1 of 1,4 of 7,0 of 0,3 of 4
http://ufcstats.com/fighter-details/b671bdf981ad527d,http://ufcstats.com/fight-details/282c8c6c1ed82bfb,3 of 9,33%,1 of 6,0 of 0,2 of 3,2 of 7,0 of 1,1 of 1
http://ufcstats.com/fighter-details/849c5d9979df5357,http://ufcstats.com/fight-details/426a69e343822ab3,114 of 267,42%,88 of 235,7 of 13,19 of 19,104 of 256,10 of 11,0 of 0
http://ufcstats.com/fighter-details/fd406a32a6fb3a29,http://ufcstats.com/fight-details/426a69e343822ab3,92 of 222,41%,67 of 181,20 of 35,5 of 6,85 of 214,7 of 8,0 of 0
http://ufcstats.com/fighter-details/48a9a128784d53d1,http://ufcstats.com/fight-details/878941394f9e3538,118 of 250,47%,88 of 211,15 of 23,15 of 16,118 of 248,0 of 2,0 of 0
http://ufcstats.com/fighter-details/323d4ca260dfa0ba,http://ufcstats.com/fight-details/878941394f9e3538,122 of 281,43%,86 of 233,23 of 29,13 of 19,114 of 268,0 of 0,8 of 13
http://ufcstats.com/fighter-details/351c4ec637380ad5,http://ufcstats.com/fight-details/c62ed8a6002b5360,33 of 58,56%,25 of 47,6 of 8,2 of 3,14 of 35,6 of 6,13 of 17
http://ufcstats.com/fighter-details/f2b3f4ef3f780168,http://ufcstats.com/fight-details/c62ed8a6002b5360,27 of 47,57%,15 of 33,4 of 4,8 of 10,17 of 36,10 of 11,0 of 0
http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,http://ufcstats.com/fight-details/ac57250e3de89d5d,42 of 67,62%,38 of 61,4 of 4,0 of 2,19 of 43,3 of 3,20 of 21
http://ufcstats.com/fighter-details/8adcbd525fab8d9b,http://ufcstats.com/fight-details/ac57250e3de89d5d,20 of 42,47%,5 of 24,4 of 5,11 of 13,17 of 38,3 of 4,0 of 0
http://ufcstats.com/fighter-details/d964a59c48381cb6,http://ufcstats.com/fight-details/111e66eb922449e4,69 of 164,42%,51 of 135,12 of 17,6 of 12,68 of 160,1 of 4,0 of 0
http://ufcstats.com/fighter-details/239d8e5359022f3b,http://ufcstats.com/fight-details/111e66eb922449e4,90 of 229,39%,60 of 184,27 of 41,3 of 4,81 of 217,9 of 12,0 of 0
http://ufcstats.com/fighter-details/d8c811df0386d5e8,http://ufcstats.com/fight-details/eeeffa7f514e0c0e,12 of 19,63%,6 of 13,4 of 4,2 of 2,8 of 15,0 of 0,4 of 4
http://ufcstats.com/fighter-details/a2d342ffc83913ed,http://ufcstats.com/fight-details/eeeffa7f514e0c0e,3 of 7,42%,0 of 1,1 of 1,2 of 5,3 of 7,0 of 0,0 of 0
http://ufcstats.com/fighter-details/260e9e0d4954aea6,http://ufcstats.com/fight-details/45781930d64da456,89 of 159,55%,51 of 118,22 of 25,16 of 16,87 of 155,2 of 4,0 of 0
http://ufcstats.com/fighter-details/147e70aa6cc48cfc,http://ufcstats.com/fight-details/45781930d64da456,41 of 114,35%,22 of 88,4 of 10,15 of 16,41 of 114,0 of 0,0 of 0
http://ufcstats.com/fighter-details/7eaa5e31c2dd86aa,http://ufcstats.com/fight-details/b3c695728e177fd4,10 of 21,47%,5 of 13,5 of 8,0 of 0,3 of 11,7 of 10,0 of 0
http://ufcstats.com/fighter-details/22e07d3da1aa3475,http://ufcstats.com/fight-details/b3c695728e177fd4,23 of 31,74%,15 of 22,8 of 9,0 of 0,12 of 18,9 of 11,2 of 2
http://ufcstats.com/fighter-details/d3f89fa685bd8420,http://ufcstats.com/fight-details/07c2af68b6dbc4ec,2 of 7,28%,2 of 7,0 of 0,0 of 0,2 of 6,0 of 0,0 of 1
http://ufcstats.com/fighter-details/450bcab0968562c4,http://ufcstats.com/fight-details/07c2af68b6dbc4ec,0 of 5,0%,0 of 4,0 of 1,0 of 0,0 of 5,0 of 0,0 of 0
http://ufcstats.com/fighter-details/83455a9d17f57dae,http://ufcstats.com/fight-details/b47db03affb279c3,33 of 70,47%,22 of 50,5 of 14,6 of 6,25 of 57,1 of 1,7 of 12
http://ufcstats.com/fighter-details/53c10176e3bc7416,http://ufcstats.com/fight-details/b47db03affb279c3,26 of 56,46%,15 of 39,5 of 11,6 of 6,25 of 54,1 of 2,0 of 0
http://ufcstats.com/fighter-details/e375cb5caf4717b6,http://ufcstats.com/fight-details/d98d6b2c13557a87,64 of 150,42%,28 of 92,23 of 37,13 of 21,48 of 126,16 of 24,0 of 0
http://ufcstats.com/fighter-details/8bd4200561c77a62,http://ufcstats.com/fight-details/d98d6b2c13557a87,56 of 103,54%,29 of 72,10 of 13,17 of 18,48 of 92,8 of 11,0 of 0
http://ufcstats.com/fighter-details/e1147d3d2dabe1ce,http://ufcstats.com/fight-details/6b8be0ee3e569ad2,66 of 142,46%,62 of 135,4 of 7,0 of 0,51 of 123,4 of 5,11 of 14
http://ufcstats.com/fighter-details/d549cefc7c54ab78,http://ufcstats.com/fight-details/6b8be0ee3e569ad2,67 of 145,46%,41 of 105,26 of 40,0 of 0,54 of 128,9 of 11,4 of 6
http://ufcstats.com/fighter-details/d661ce4da776fc20,http://ufcstats.com/fight-details/d4d4ee045b0ca695,81 of 146,55%,63 of 122,10 of 12,8 of 12,58 of 114,23 of 32,0 of 0
http://ufcstats.com/fighter-details/c0ac37a4a1133da9,http://ufcstats.com/fight-details/d4d4ee045b0ca695,64 of 170,37%,44 of 128,8 of 18,12 of 24,62 of 165,2 of 5,0 of 0
http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fight-details/582d66ce97309e29,93 of 142,65%,42 of 82,27 of 33,24 of 27,58 of 93,30 of 39,5 of 10
