fighter_name,fighter_url,height,weight,reach,stance,dob,record,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Gabriel Bonfim,http://ufcstats.com/fighter-details/01641ba5df0c69b0,"6' 1""",170 lbs.,"72""",Orthodox,"Aug 20, 1997",18-1-0,4.54,45%,3.53,,4.03,55%,76%,1.6
Dustin Poirier,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",30-10-0 (1 NC),5.24,50%,4.57,,1.15,35%,64%,1.2
Uran Satybaldiev,http://ufcstats.com/fighter-details/02f484417a6fa69d,"6' 4""",205 lbs.,"79""",Orthodox,"Aug 10, 1994",9-1-0,2.14,25%,3.66,,0.00,0%,50%,1.7
Shara Magomedov,http://ufcstats.com/fighter-details/06734ca9d88dec3a,"6' 2""",185 lbs.,"73""",Orthodox,"May 16, 1994",16-1-0,5.93,62%,3.85,,0.00,0%,71%,0.0
Daria Zhelezniakova,http://ufcstats.com/fighter-details/07047eb7d17fb0a2,"5' 9""",135 lbs.,"68""",Orthodox,"Jan 23, 1996",10-2-0,4.75,41%,2.83,,0.44,100%,50%,0.0
Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",35-11-0 (1 NC),3.41,55%,3.26,,2.23,39%,56%,2.6
Billy Elekana,http://ufcstats.com/fighter-details/07a74004d964c7f4,"6' 3""",205 lbs.,"77""",Southpaw,"May 28, 1995",8-2-0,2.34,57%,3.18,,0.64,25%,0%,0.0
Beneil Dariush,http://ufcstats.com/fighter-details/08af939f41b5a57b,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",23-6-1,3.78,49%,2.61,,2.12,38%,82%,0.8
Anthony Hernandez,http://ufcstats.com/fighter-details/093e1f5bb73850be,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993",15-2-0 (1 NC),4.59,62%,2.53,,6.46,48%,68%,1.8
Marcus Buchecha,http://ufcstats.com/fighter-details/095854a135e6db55,"6' 2""",255 lbs.,"77""",Orthodox,"Jan 08, 1990",5-2-0,1.60,40%,2.73,,1.00,9%,0%,0.0
Rafael Cerqueira,http://ufcstats.com/fighter-details/09a4447655fd4b7b,"6' 3""",205 lbs.,"76""",Southpaw,"Mar 15, 1990",11-3-0,1.61,44%,4.88,,0.00,0%,40%,0.0
Jack Hermansson,http://ufcstats.com/fighter-details/0a1942069c9ad6b6,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",24-9-0,5.13,45%,3.70,,1.50,29%,80%,0.4
Lukasz Brzeski,http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19,"6' 3""",236 lbs.,"78""",Orthodox,"May 17, 1992",9-7-1 (1 NC),4.90,50%,3.65,,0.41,33%,35%,0.4
Robert Valentin,http://ufcstats.com/fighter-details/0cd0456d6029cec2,"6' 2""",185 lbs.,"77""",Orthodox,"Mar 31, 1995",11-6-0 (1 NC),1.13,56%,2.83,,0.00,0%,55%,1.3
Michal Oleksiejczuk,http://ufcstats.com/fighter-details/0d65c432720accb9,"6' 0""",185 lbs.,"74""",Southpaw,"Feb 22, 1995",21-9-0 (1 NC),5.34,51%,4.41,,1.02,43%,52%,0.0
Dricus Du Plessis,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994",23-3-0,5.18,48%,4.33,,2.22,51%,34%,0.7
Nikolay Veretennikov,http://ufcstats.com/fighter-details/0f1efce7d2571d10,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 22, 1989",13-6-0,3.01,55%,3.43,,0.55,18%,62%,0.0
Said Nurmagomedov,http://ufcstats.com/fighter-details/0fd5f4b838e890cc,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 05, 1992",18-5-0,3.08,48%,2.05,,0.86,15%,63%,1.1
Irina Alekseeva,http://ufcstats.com/fighter-details/103e2e33a60683e1,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",5-3-0,4.01,39%,5.03,,0.47,20%,66%,0.5
Nikita Krylov,http://ufcstats.com/fighter-details/1091d4d957141094,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",30-11-0,4.31,54%,2.58,,2.17,38%,53%,1.4
Davey Grant,http://ufcstats.com/fighter-details/113df4fde64735c6,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",17-7-0,5.18,44%,3.74,,1.04,40%,63%,0.2
Jared Cannonier,http://ufcstats.com/fighter-details/13a0275fa13c4d26,"5' 11""",185 lbs.,"77""",Switch,"Mar 16, 1984",18-9-0,4.42,49%,4.35,,0.54,40%,64%,0.0
Tresean Gore,http://ufcstats.com/fighter-details/147e70aa6cc48cfc,"6' 0""",185 lbs.,"75""",Switch,"Jun 21, 1994",6-4-0,2.76,42%,7.48,,1.83,75%,88%,0.9
Toshiomi Kazama,http://ufcstats.com/fighter-details/148bb103cfbf123e,"5' 7""",135 lbs.,"69""",Orthodox,"May 15, 1997",11-5-0,1.49,53%,4.56,,1.94,16%,66%,1.0
Max Holloway,http://ufcstats.com/fighter-details/150ff4cc642270b9,"5' 11""",145 lbs.,"69""",Orthodox,"Dec 04, 1991",27-8-0,7.20,48%,4.74,,0.24,53%,83%,0.3
Tallison Teixeira,http://ufcstats.com/fighter-details/17923f676f100e16,"6' 7""",258 lbs.,"83""",Orthodox,"Dec 07, 1999",8-1-0,12.83,59%,8.98,,0.00,0%,0%,0.0
Joshua Van,http://ufcstats.com/fighter-details/17e97649403ba428,"5' 5""",125 lbs.,"65""",Orthodox,"Oct 10, 2001",15-2-0,8.86,56%,6.36,,0.85,63%,81%,0.0
Vinicius Oliveira,http://ufcstats.com/fighter-details/18d01f7f8338ae72,"5' 9""",135 lbs.,"70""",Switch,"Nov 30, 1995",23-3-0,5.28,43%,2.89,,1.67,50%,80%,0.2
Viacheslav Borshchev,http://ufcstats.com/fighter-details/19c591115a58982c,"5' 11""",155 lbs.,"69""",Orthodox,"Jan 08, 1992",8-6-1,5.22,54%,4.73,,0.00,0%,42%,0.1
Brunno Ferreira,http://ufcstats.com/fighter-details/1e719d4b676dc19a,"5' 10""",185 lbs.,"72""",Orthodox,"Nov 04, 1992",14-2-0,3.41,50%,3.34,,1.39,28%,57%,1.0
Andrey Pulyaev,http://ufcstats.com/fighter-details/22e07d3da1aa3475,"6' 4""",185 lbs.,"78""",Southpaw,"Sep 10, 1997",10-3-0,3.81,60%,3.51,,0.41,16%,64%,0.0
Kevin Vallejos,http://ufcstats.com/fighter-details/239d8e5359022f3b,"5' 7""",145 lbs.,"68""",Switch,"Dec 08, 2001",16-1-0,6.28,45%,5.23,,0.84,33%,83%,0.0
Jhonata Diniz,http://ufcstats.com/fighter-details/25f9a5f3e8a52618,"6' 4""",254 lbs.,"79""",Orthodox,"Jun 23, 1991",9-1-0,4.58,56%,3.71,,0.00,0%,78%,0.0
Rodolfo Vieira,http://ufcstats.com/fighter-details/260e9e0d4954aea6,"6' 0""",185 lbs.,"73""",Orthodox,"Sep 25, 1989",11-3-0,3.77,55%,4.12,,3.09,23%,100%,1.0
Alexander Hernandez,http://ufcstats.com/fighter-details/262a7d06203657e6,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992",17-8-0,4.36,40%,4.60,,1.20,36%,73%,0.1
Dione Barbosa,http://ufcstats.com/fighter-details/27b388f0aab49780,"5' 6""",125 lbs.,"66""",Orthodox,"May 08, 1992",8-4-0,2.27,45%,2.45,,2.23,42%,50%,1.9
JunYong Park,http://ufcstats.com/fighter-details/285ae0b4a68221f4,"5' 10""",185 lbs.,"73""",Orthodox,"Feb 27, 1991",19-6-0,4.59,50%,3.59,,1.87,42%,57%,0.9
Carlos Leal,http://ufcstats.com/fighter-details/28d421729451c8ca,"5' 11""",170 lbs.,"74""",Orthodox,"May 04, 1994",22-7-0,9.57,50%,7.61,,0.75,25%,90%,0.0
Paulo Costa,http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82,"6' 1""",185 lbs.,"72""",Orthodox,"Apr 21, 1991",15-4-0,6.26,58%,6.20,,0.32,50%,80%,0.0
Brendan Allen,http://ufcstats.com/fighter-details/2f181c0467965b98,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",25-7-0,3.85,53%,3.96,,1.65,41%,56%,1.2
Ateba Gautier,http://ufcstats.com/fighter-details/2f815ed5f8278ba6,"6' 4""",185 lbs.,"81""",Switch,"Apr 10, 2002",8-1-0,6.93,61%,2.19,,0.00,0%,90%,0.0
Joseph Morales,http://ufcstats.com/fighter-details/2fe9032955c2e013,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",14-2-0,2.02,40%,2.11,,1.23,42%,28%,2.9
Alibi Idiris,http://ufcstats.com/fighter-details/30cad5a751adcb48,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 22, 1994",11-1-0,3.47,50%,3.60,,0.00,0%,60%,0.0
Esteban Ribovics,http://ufcstats.com/fighter-details/323d4ca260dfa0ba,"5' 10""",155 lbs.,"69""",Orthodox,"Apr 27, 1996",15-2-0,8.09,43%,6.30,,0.39,66%,70%,0.2
Roman Dolidze,http://ufcstats.com/fighter-details/327d5f279895110d,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 15, 1988",15-4-0,3.41,41%,3.72,,0.99,39%,26%,0.8
Steve Erceg,http://ufcstats.com/fighter-details/32ab52e5de93092d,"5' 8""",125 lbs.,"68""",Orthodox,"Jul 27, 1995",13-4-0,4.00,45%,3.79,,1.15,27%,62%,0.4
Hamdy Abdelwahab,http://ufcstats.com/fighter-details/3329d692aea4dc28,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993",6-1-0 (1 NC),3.49,49%,4.49,,1.33,66%,100%,0.0
Kevin Borjas,http://ufcstats.com/fighter-details/34b96d52db1d26e6,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 06, 1997",10-4-0,4.19,44%,5.74,,0.00,0%,71%,0.0
