fight_url,fighter_1_url,fighter_2_url,event_url,weight_class,method,method_type,round,time,time_seconds,total_fight_time_seconds,winner
5bcd8abf6da01dae,881bf86d4cba8578,4126a78111c0855a,6e380a4d73ab4f0e,Middleweight,U-DEC,Unanimous Decision,5,5:00,300,1500,881bf86d4cba8578
d14fea43712707f0,c2299ec916bc7c56,9c393e836a852f30,6e380a4d73ab4f0e,Lightweight,SUB,Submission,2,2:56,176,476,c2299ec916bc7c56
0149e875b31e57f8,476fe566d2df676e,eabf206b162b3b83,6e380a4d73ab4f0e,Light Heavyweight,KO/TKO,Knockout or Technical Knockout,1,5:00,300,300,476fe566d2df676e
69b31593175f77ec,f6ad6a1e4d600e0d,4bdedbdeedff7d1d,6e380a4d73ab4f0e,Lightweight,KO/TKO,Knockout or Technical Knockout,2,3:18,198,498,f6ad6a1e4d600e0d
a47123ae6e048f11,1d2d98ddd05b38fb,f748267c4ab6c127,6e380a4d73ab4f0e,Welterweight,KO/TKO,Knockout or Technical Knockout,3,2:02,122,722,1d2d98ddd05b38fb
b53031bf4bd0a330,e1d40e8782d80bc2,92aed9d16794f42b,6e380a4d73ab4f0e,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,e1d40e8782d80bc2
4080b4310d82b42d,46e2011d92463b7e,49edd0d90f60fb7d,6e380a4d73ab4f0e,Light Heavyweight,KO/TKO,Knockout or Technical Knockout,1,4:42,282,282,46e2011d92463b7e
23dbe713c4294c66,7d8435c56043b0ae,c9cf753cfdf77fc2,6e380a4d73ab4f0e,Heavyweight,KO/TKO,Knockout or Technical Knockout,1,2:03,123,123,7d8435c56043b0ae
5cd2dd6075fadcce,ec13c393d029297d,2dbc60c52de126d8,6e380a4d73ab4f0e,Lightweight,KO/TKO,Knockout or Technical Knockout,1,3:21,201,201,ec13c393d029297d
420211200a35c1d1,8b6e5dc2ba1edbe7,31dbfbe4e7a6727c,6e380a4d73ab4f0e,Welterweight,KO/TKO,Knockout or Technical Knockout,1,3:01,181,181,8b6e5dc2ba1edbe7
b3253e2c2d111030,f96856f9d69fd7e4,0c6d9ea8306c029e,6e380a4d73ab4f0e,Middleweight,KO/TKO,Knockout or Technical Knockout,3,1:43,103,703,f96856f9d69fd7e4
d56a59a4c79cf515,8f765fd5775a8873,2caf993f53541fa1,6e380a4d73ab4f0e,Welterweight,KO/TKO,Knockout or Technical Knockout,1,0:54,54,54,8f765fd5775a8873
a38010639e61885c,e94085e821bd81de,9c442aaf149ea982,6e380a4d73ab4f0e,Women's Strawweight,SUB,Submission,2,1:58,118,418,e94085e821bd81de
2eecf0c36192e40c,c21f26bbde777573,8a65fd9ba31fd3f7,754968e325d6f60d,Light Heavyweight,KO/TKO,Knockout or Technical Knockout,2,2:37,157,457,c21f26bbde777573
58080e8989927500,cb696ebfb6598724,def8166ff24bd237,754968e325d6f60d,Catch Weight,U-DEC,Unanimous Decision,5,5:00,300,1500,cb696ebfb6598724
5538d15c4eeac3b3,f14cf73e51b29254,fc08099550072fe4,754968e325d6f60d,Heavyweight,U-DEC,Unanimous Decision,3,5:00,300,900,f14cf73e51b29254
ce6bd165bef82bd7,3cf18e01cb6cbde3,34b96d52db1d26e6,754968e325d6f60d,Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,3cf18e01cb6cbde3
1452c20d964c0a63,7498b3ac79a3b948,4729c93ba705a3bf,754968e325d6f60d,Welterweight,KO/TKO,Knockout or Technical Knockout,1,3:33,213,213,7498b3ac79a3b948
0b1460c666e66d39,b2a78df161bd67f9,8c1ca54b5089d199,754968e325d6f60d,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,b2a78df161bd67f9
