fighter_url,fight_url,referee,significant_strikes_landed,significant_strikes_attempted,significant_strike_accuracy,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,takedown_accuracy,knockdowns,submission_attempts,reversals,control_time_seconds,significant_strike_accuracy_opponent
881bf86d4cba8578,5bcd8abf6da01dae,Marc Goddard,81,162,0.5,53,118,14,26,14,18,79,160,2,2,0,0,89,170,0,0,,0,0,0,29,0.5
4126a78111c0855a,5bcd8abf6da01dae,Marc Goddard,66,166,0.39,39,109,14,38,13,19,59,159,7,7,0,0,89,190,0,5,0.0,0,0,0,80,0.39
c2299ec916bc7c56,d14fea43712707f0,Herb Dean,17,38,0.44,9,26,8,12,0,0,9,26,3,3,5,9,37,61,3,10,0.3,0,1,0,278,0.44
9c393e836a852f30,d14fea43712707f0,Herb Dean,5,17,0.29,4,14,1,3,0,0,5,17,0,0,0,0,6,18,0,0,,0,0,0,34,0.29
476fe566d2df676e,0149e875b31e57f8,Marc Goddard,22,36,0.61,18,30,0,0,4,6,10,17,0,0,12,19,29,44,0,0,,0,0,0,110,0.61
eabf206b162b3b83,0149e875b31e57f8,Marc Goddard,6,14,0.42,0,4,2,3,4,7,5,13,1,1,0,0,30,39,0,2,0.0,0,0,0,45,0.42
4bdedbdeedff7d1d,69b31593175f77ec,Rich Mitchell,38,99,0.38,26,76,8,19,4,4,34,85,0,0,4,14,40,101,0,1,0.0,1,0,0,21,0.38
f6ad6a1e4d600e0d,69b31593175f77ec,Rich Mitchell,57,136,0.41,52,128,2,3,3,5,23,84,2,3,32,49,67,147,2,2,1.0,1,1,0,221,0.41
1d2d98ddd05b38fb,a47123ae6e048f11,Herb Dean,45,105,0.42,40,94,5,11,0,0,36,94,5,7,4,4,52,114,1,4,0.25,1,0,0,185,0.42
f748267c4ab6c127,a47123ae6e048f11,Herb Dean,33,135,0.24,27,128,6,7,0,0,23,116,10,19,0,0,48,156,0,0,,0,0,0,0,0.24
e1d40e8782d80bc2,b53031bf4bd0a330,Lukasz Bosacki,49,114,0.42,19,69,17,29,13,16,37,102,12,12,0,0,66,132,2,2,1.0,0,0,0,57,0.42
92aed9d16794f42b,b53031bf4bd0a330,Lukasz Bosacki,34,96,0.35,14,62,16,28,4,6,27,89,7,7,0,0,54,116,2,6,0.33,0,0,0,276,0.35
46e2011d92463b7e,4080b4310d82b42d,Patricio Carlos,17,43,0.39,14,38,0,1,3,4,4,11,0,0,13,32,21,49,2,4,0.5,0,0,0,208,0.39
49edd0d90f60fb7d,4080b4310d82b42d,Patricio Carlos,5,14,0.35,2,10,1,2,2,2,5,14,0,0,0,0,11,22,0,0,,0,0,0,3,0.35
