fighter_name,fighter_url,height_cm,weight_kg,reach_cm,stance,dob,age,wins,losses,draws,nc,total_fights,reach_to_height_ratio,record,significant_strikes_landed_per_minute,significant_strike_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defense,takedown_average_per_15_min,takedown_accuracy,takedown_defense,submission_average_per_15_min
Mark Choinski,001eb2ab0f30e7ea,173,70,175,Orthodox,1995-10-22,29,8.0,1.0,0.0,,9,1.0115606936416186,8-1-0,3.87,50.0,7.33,,2.0,18.0,0.0,0.0
Jiri Prochazka,009341ed974bad72,190,93,203,Orthodox,1992-10-14,32,31.0,5.0,1.0,,37,1.068421052631579,31-5-1,5.74,55.0,5.7,,0.6,60.0,68.0,0.2
Denis Tiuliulin,0112352cb32f5026,185,84,196,Orthodox,1988-05-17,37,10.0,10.0,0.0,1.0,21,1.0594594594594595,10-10-0 (1 NC),3.61,41.0,5.23,,0.96,42.0,72.0,0.0
Gabriel Bonfim,01641ba5df0c69b0,185,77,183,Orthodox,1997-08-20,28,18.0,1.0,0.0,,19,0.9891891891891892,18-1-0,4.54,45.0,3.53,,4.03,55.0,76.0,1.6
Shavkat Rakhmonov,01afe0916a40c7c5,185,77,196,Orthodox,1994-10-23,30,19.0,0.0,0.0,,19,1.0594594594594595,19-0-0,3.25,60.0,2.17,,1.4,25.0,85.0,1.2
Michael Aswell,01c9e4013afce141,173,66,175,Orthodox,2000-09-27,24,10.0,3.0,0.0,,13,1.0115606936416186,10-3-0,9.1,44.0,7.93,,0.0,0.0,57.0,0.0
Adrian Yanez,0232cabbc30a2372,170,61,178,Orthodox,1993-11-29,31,17.0,6.0,0.0,,23,1.0470588235294118,17-6-0,6.23,41.0,5.75,,0.0,0.0,81.0,0.0
Dustin Poirier,029eaff01e6bb8f0,175,70,183,Southpaw,1989-01-19,36,30.0,10.0,0.0,1.0,41,1.0457142857142858,30-10-0 (1 NC),5.24,50.0,4.57,,1.15,35.0,64.0,1.2
Rayanne dos Santos,02bb48869eb7ac8f,157,52,157,Orthodox,1995-06-08,30,14.0,9.0,0.0,,23,1.0,14-9-0,4.57,40.0,6.47,,0.5,14.0,80.0,0.0
Uran Satybaldiev,02f484417a6fa69d,193,93,201,Orthodox,1994-08-10,31,9.0,1.0,0.0,,10,1.0414507772020725,9-1-0,2.14,25.0,3.66,,0.0,0.0,50.0,1.7
Zachary Scroggin,03dee485905dbc9f,190,77,188,Orthodox,1996-03-09,29,7.0,1.0,0.0,,8,0.9894736842105263,7-1-0,2.4,37.0,8.8,,0.0,0.0,0.0,0.0
Arnold Allen,040a74bb0a465c54,173,66,178,Southpaw,1994-01-22,31,20.0,3.0,0.0,,23,1.0289017341040463,20-3-0,3.45,41.0,2.88,,0.93,47.0,75.0,0.3
Casey O'Neill,04835018f90b118c,168,57,175,Orthodox,1997-10-07,27,10.0,2.0,0.0,,12,1.0416666666666667,10-2-0,7.89,52.0,5.65,,1.45,34.0,70.0,0.7
Rob Font,05339613bf8e9808,173,61,180,Orthodox,1987-06-25,38,22.0,8.0,0.0,,30,1.0404624277456647,22-8-0,5.49,46.0,3.67,,0.79,34.0,42.0,0.4
Henry Cejudo,056c493bbd76a918,163,61,163,Orthodox,1987-02-09,38,16.0,5.0,0.0,,21,1.0,16-5-0,3.82,47.0,3.46,,1.84,31.0,76.0,0.1
Andrea Lee,05fa626cb33d15b8,168,57,175,Orthodox,1989-02-11,36,13.0,11.0,0.0,,24,1.0416666666666667,13-11-0,4.62,45.0,3.91,,1.65,52.0,53.0,0.6
Chris Padilla,06626b6287e1ae1e,175,70,188,Orthodox,1995-09-14,29,16.0,6.0,0.0,,22,1.0742857142857143,16-6-0,4.13,51.0,3.68,,1.56,30.0,100.0,0.5
Shara Magomedov,06734ca9d88dec3a,188,84,185,Orthodox,1994-05-16,31,16.0,1.0,0.0,,17,0.9840425531914894,16-1-0,5.93,62.0,3.85,,0.0,0.0,71.0,0.0
Ailin Perez,06e4245d16fc5315,165,61,168,Switch,1994-10-05,30,12.0,2.0,0.0,,14,1.018181818181818,12-2-0,3.1,54.0,1.79,,4.68,46.0,66.0,0.2
Daria Zhelezniakova,07047eb7d17fb0a2,175,61,173,Orthodox,1996-01-23,29,10.0,2.0,0.0,,12,0.9885714285714285,10-2-0,4.75,41.0,2.83,,0.44,100.0,50.0,0.0
Charles Oliveira,07225ba28ae309b6,178,70,188,Orthodox,1989-10-17,35,35.0,11.0,0.0,1.0,47,1.0561797752808988,35-11-0 (1 NC),3.41,55.0,3.26,,2.23,39.0,56.0,2.6
CJ Vergara,077e3ace32b72be9,168,57,173,Orthodox,1991-06-18,34,12.0,7.0,1.0,,20,1.0297619047619047,12-7-1,5.02,56.0,4.69,,0.0,0.0,60.0,0.2
Billy Elekana,07a74004d964c7f4,190,93,196,Southpaw,1995-05-28,30,8.0,2.0,0.0,,10,1.0315789473684212,8-2-0,2.34,57.0,3.18,,0.64,25.0,0.0,0.0
Jon Jones,07f72a2a7591b409,193,112,213,Orthodox,1987-07-19,38,28.0,1.0,0.0,1.0,30,1.1036269430051813,28-1-0 (1 NC),4.38,58.0,2.24,,1.89,45.0,95.0,0.5
Carlos Vera,07f959e6596307bb,168,61,175,Orthodox,1987-11-05,37,12.0,4.0,0.0,,16,1.0416666666666667,12-4-0,1.53,57.0,2.79,,0.0,0.0,25.0,1.6
Jarno Errens,082eba4cd80f736f,180,66,185,Orthodox,1994-11-17,30,14.0,6.0,1.0,,21,1.0277777777777777,14-6-1,3.29,44.0,3.29,,0.0,0.0,33.0,0.3
Volkan Oezdemir,0845c81e37d3bcb3,188,93,190,Orthodox,1989-09-19,35,20.0,8.0,0.0,,28,1.0106382978723405,20-8-0,4.95,48.0,4.22,,0.5,29.0,80.0,0.1
Beneil Dariush,08af939f41b5a57b,178,70,183,Southpaw,1989-05-06,36,23.0,6.0,1.0,,30,1.0280898876404494,23-6-1,3.78,49.0,2.61,,2.12,38.0,82.0,0.8
Anthony Hernandez,093e1f5bb73850be,183,84,190,Orthodox,1993-10-18,31,15.0,2.0,0.0,1.0,18,1.0382513661202186,15-2-0 (1 NC),4.59,62.0,2.53,,6.46,48.0,68.0,1.8
Marcus Buchecha,095854a135e6db55,188,116,196,Orthodox,1990-01-08,35,5.0,2.0,0.0,,7,1.0425531914893618,5-2-0,1.6,40.0,2.73,,1.0,9.0,0.0,0.0
Rafael Cerqueira,09a4447655fd4b7b,190,93,193,Southpaw,1990-03-15,35,11.0,3.0,0.0,,14,1.0157894736842106,11-3-0,1.61,44.0,4.88,,0.0,0.0,40.0,0.0
Jimmy Flick,09e62c450e754913,170,57,173,Orthodox,1990-09-07,35,17.0,9.0,0.0,,26,1.0176470588235293,17-9-0,1.67,50.0,4.7,,2.36,33.0,0.0,3.5
Jack Hermansson,0a1942069c9ad6b6,185,84,196,Orthodox,1988-06-10,37,24.0,9.0,0.0,,33,1.0594594594594595,24-9-0,5.13,45.0,3.7,,1.5,29.0,80.0,0.4
Bruno Lopes,0abcf6bc47191219,188,93,188,Orthodox,1993-04-24,32,14.0,2.0,0.0,,16,1.0,14-2-0,2.81,43.0,3.38,,2.51,33.0,100.0,0.0
Trevor Peek,0bc697c5936a2d0a,175,66,178,Switch,1995-01-09,30,9.0,3.0,0.0,1.0,13,1.0171428571428571,9-3-0 (1 NC),4.39,53.0,3.88,,1.45,50.0,52.0,0.0
Mitch Raposo,0be6776db31d98ec,165,57,163,Switch,1998-10-16,26,9.0,3.0,0.0,,12,0.9878787878787879,9-3-0,1.62,33.0,3.2,,3.54,37.0,50.0,0.0
Lukasz Brzeski,0c25d0a5e8cdbf19,190,107,198,Orthodox,1992-05-17,33,9.0,7.0,1.0,1.0,18,1.0421052631578946,9-7-1 (1 NC),4.9,50.0,3.65,,0.41,33.0,35.0,0.4
Brad Tavares,0c6d9ea8306c029e,185,84,188,Orthodox,1987-12-21,37,21.0,12.0,0.0,,33,1.0162162162162163,21-12-0,3.42,43.0,3.36,,0.73,26.0,81.0,0.0
Robert Valentin,0cd0456d6029cec2,188,84,196,Orthodox,1995-03-31,30,11.0,6.0,0.0,1.0,18,1.0425531914893618,11-6-0 (1 NC),1.13,56.0,2.83,,0.0,0.0,55.0,1.3
Mick Parkin,0d5cc0170c1a7e71,193,120,201,Orthodox,1995-10-02,29,10.0,1.0,0.0,,11,1.0414507772020725,10-1-0,4.7,50.0,4.13,,1.38,46.0,50.0,0.2
Michal Oleksiejczuk,0d65c432720accb9,183,84,188,Southpaw,1995-02-22,30,21.0,9.0,0.0,1.0,31,1.0273224043715847,21-9-0 (1 NC),5.34,51.0,4.41,,1.02,43.0,52.0,0.0
Dricus Du Plessis,0d7b51c9d2649a6e,185,84,193,Switch,1994-01-14,31,23.0,3.0,0.0,,26,1.0432432432432432,23-3-0,5.18,48.0,4.33,,2.22,51.0,34.0,0.7
Sean Strickland,0d8011111be000b2,185,84,193,Orthodox,1991-02-27,34,29.0,7.0,0.0,,36,1.0432432432432432,29-7-0,5.95,42.0,4.57,,0.73,64.0,76.0,0.2
Timmy Cuamba,0e46690e55a8df75,175,66,180,Orthodox,1999-02-08,26,9.0,3.0,0.0,,12,1.0285714285714285,9-3-0,3.12,42.0,4.3,,1.11,26.0,80.0,0.0
Nikolay Veretennikov,0f1efce7d2571d10,185,77,188,Orthodox,1989-12-22,35,13.0,6.0,0.0,,19,1.0162162162162163,13-6-0,3.01,55.0,3.43,,0.55,18.0,62.0,0.0
Sean Sharaf,0f3a990526c5e706,190,114,196,Orthodox,1993-07-11,32,4.0,1.0,0.0,,5,1.0315789473684212,4-1-0,7.31,44.0,9.79,,2.07,12.0,0.0,0.0
Said Nurmagomedov,0fd5f4b838e890cc,173,61,178,Orthodox,1992-04-05,33,18.0,5.0,0.0,,23,1.0289017341040463,18-5-0,3.08,48.0,2.05,,0.86,15.0,63.0,1.1
Irina Alekseeva,103e2e33a60683e1,173,61,170,Orthodox,1990-06-27,35,5.0,3.0,0.0,,8,0.9826589595375722,5-3-0,4.01,39.0,5.03,,0.47,20.0,66.0,0.5
Nikita Krylov,1091d4d957141094,190,93,196,Orthodox,1992-03-07,33,30.0,11.0,0.0,,41,1.0315789473684212,30-11-0,4.31,54.0,2.58,,2.17,38.0,53.0,1.4
Davey Grant,113df4fde64735c6,173,61,175,Orthodox,1985-12-18,39,17.0,7.0,0.0,,24,1.0115606936416186,17-7-0,5.18,44.0,3.74,,1.04,40.0,63.0,0.2
Lucas Alexander,11583163f45c7b31,180,66,185,Orthodox,1995-07-28,30,8.0,5.0,0.0,,13,1.0277777777777777,8-5-0,4.69,57.0,2.87,,0.0,0.0,60.0,0.0
ChangHo Lee,117a06469813e4ef,173,61,175,Orthodox,1994-05-09,31,11.0,1.0,0.0,,12,1.0115606936416186,11-1-0,4.92,67.0,2.35,,3.27,33.0,37.0,0.4
Bruno Silva,12ebd7d157e91701,183,84,188,Orthodox,1989-07-13,36,23.0,13.0,0.0,,36,1.0273224043715847,23-13-0,3.86,48.0,5.35,,0.77,22.0,74.0,0.0
Valentina Shevchenko,132deb59abae64b1,165,57,168,Southpaw,1988-03-07,37,25.0,4.0,1.0,,30,1.018181818181818,25-4-1,3.14,52.0,2.06,,2.62,60.0,75.0,0.3
Israel Adesanya,1338e2c7480bdf9e,193,84,203,Switch,1989-07-22,36,24.0,5.0,0.0,,29,1.0518134715025906,24-5-0,4.02,48.0,3.2,,0.05,11.0,76.0,0.1
Jared Cannonier,13a0275fa13c4d26,180,84,196,Switch,1984-03-16,41,18.0,9.0,0.0,,27,1.0888888888888888,18-9-0,4.42,49.0,4.35,,0.54,40.0,64.0,0.0
Robelis Despaigne,140567899d98978a,201,120,213,Orthodox,1988-09-09,36,5.0,2.0,0.0,,7,1.0597014925373134,5-2-0,2.11,59.0,2.54,,0.0,0.0,50.0,0.0
Tresean Gore,147e70aa6cc48cfc,183,84,190,Switch,1994-06-21,31,6.0,4.0,0.0,,10,1.0382513661202186,6-4-0,2.76,42.0,7.48,,1.83,75.0,88.0,0.9
Toshiomi Kazama,148bb103cfbf123e,170,61,175,Orthodox,1997-05-15,28,11.0,5.0,0.0,,16,1.0294117647058822,11-5-0,1.49,53.0,4.56,,1.94,16.0,66.0,1.0
Ange Loosa,1497e735d9f2560a,178,77,188,Orthodox,1993-03-18,32,10.0,5.0,0.0,1.0,16,1.0561797752808988,10-5-0 (1 NC),5.46,46.0,6.59,,2.53,39.0,83.0,0.2
Max Holloway,150ff4cc642270b9,180,66,175,Orthodox,1991-12-04,33,27.0,8.0,0.0,,35,0.9722222222222222,27-8-0,7.2,48.0,4.74,,0.24,53.0,83.0,0.3
Roberto Romero,15ea371202eb25e1,173,66,178,Orthodox,2000-01-30,25,8.0,5.0,1.0,,14,1.0289017341040463,8-5-1,4.56,49.0,6.44,,0.0,0.0,71.0,0.0
Quillan Salkilld,17734443a833cdf7,183,70,190,Orthodox,1999-12-28,25,9.0,1.0,0.0,,10,1.0382513661202186,9-1-0,5.48,59.0,3.46,,8.41,37.0,100.0,0.5
Tallison Teixeira,17923f676f100e16,201,117,211,Orthodox,1999-12-07,25,8.0,1.0,0.0,,9,1.0497512437810945,8-1-0,12.83,59.0,8.98,,0.0,0.0,0.0,0.0
Nyamjargal Tumendemberel,17cb6d8e8187f304,170,57,180,Orthodox,1998-03-22,27,9.0,1.0,0.0,,10,1.0588235294117647,9-1-0,3.18,39.0,3.33,,3.1,38.0,54.0,2.6
Joshua Van,17e97649403ba428,165,57,165,Orthodox,2001-10-10,23,15.0,2.0,0.0,,17,1.0,15-2-0,8.86,56.0,6.36,,0.85,63.0,81.0,0.0
Jeremy Stephens,18968f97ad34f15c,175,70,180,Orthodox,1986-05-25,39,28.0,20.0,0.0,1.0,49,1.0285714285714285,28-20-0 (1 NC),3.15,40.0,3.14,,1.11,38.0,62.0,0.4
Alatengheili,1897b7b913736a7c,165,61,168,Orthodox,1991-12-14,33,17.0,10.0,2.0,,29,1.018181818181818,17-10-2,2.82,32.0,5.12,,1.74,43.0,75.0,0.0
Vinicius Oliveira,18d01f7f8338ae72,175,61,178,Switch,1995-11-30,29,23.0,3.0,0.0,,26,1.0171428571428571,23-3-0,5.28,43.0,2.89,,1.67,50.0,80.0,0.2
Dan Hooker,193b9d1858bc4df3,183,70,190,Switch,1990-02-13,35,24.0,12.0,0.0,,36,1.0382513661202186,24-12-0,5.03,48.0,4.72,,0.73,34.0,78.0,0.3
Viacheslav Borshchev,19c591115a58982c,180,70,175,Orthodox,1992-01-08,33,8.0,6.0,1.0,,15,0.9722222222222222,8-6-1,5.22,54.0,4.73,,0.0,0.0,42.0,0.1
Puja Tomar,19f8a2f6eecd92ac,163,52,150,Southpaw,1993-12-05,31,9.0,5.0,0.0,,14,0.9202453987730062,9-5-0,5.61,48.0,5.82,,0.0,0.0,100.0,0.0
Serhiy Sidey,1a2bf44edb8055b6,180,61,183,Switch,1996-07-04,29,12.0,2.0,0.0,,14,1.0166666666666666,12-2-0,4.49,39.0,4.26,,1.58,25.0,20.0,1.3
Matheus Nicolau,1a31ef98efce7a79,168,57,168,Orthodox,1993-01-06,32,19.0,6.0,1.0,,26,1.0,19-6-1,3.31,51.0,2.98,,1.22,43.0,90.0,0.8
