event_name,event_date,city,state_or_region,country,event_url
UFC Fight Night: Lopes vs. Silva,2025-09-13,San Antonio,Texas,USA,5efaaf313b652dd7
UFC Fight Night: Imavov vs. Borralho,2025-09-06,Paris,Ile-de-France,France,6e380a4d73ab4f0e
UFC Fight Night: Walker vs. Zhang,2025-08-23,Shanghai,Hebei,China,754968e325d6f60d
UFC 319: Du Plessis vs. Chimaev,2025-08-16,Chicago,Illinois,USA,421ccfc6ddb17958
UFC Fight Night: Dolidze vs. Hernandez,2025-08-09,Las Vegas,Nevada,USA,6cd3dfc54f01287f
UFC Fight Night: Taira vs. Park,2025-08-02,Las Vegas,Nevada,USA,f2c934689243fe4e
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,Abu Dhabi,Abu Dhabi,United Arab Emirates,28d8638ea0a71908
UFC 318: Holloway vs. Poirier 3,2025-07-19,New Orleans,Louisiana,USA,b8e2f10efb6eca85
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,Nashville,Tennessee,USA,7b03d9df5910917d
UFC 317: Topuria vs. Oliveira,2025-06-28,Las Vegas,Nevada,USA,66766984842c13dc
UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21,Baku,,Azerbaijan,400c7b43c86d27d3
UFC Fight Night: Usman vs. Buckley,2025-06-14,Atlanta,Georgia,USA,de277a4abcfeea46
UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,Newark,New Jersey,USA,18c49685296c60e6
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,Las Vegas,Nevada,USA,2a898bf9fb7710b3
UFC Fight Night: Burns vs. Morales,2025-05-17,Las Vegas,Nevada,USA,8ad022dd81224f61
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,Montreal,Quebec,Canada,118463dd8db16e7f
UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,Des Moines,Iowa,USA,de20ffb3fc2e7629
UFC Fight Night: Machado Garry vs. Prates,2025-04-26,Kansas City,Missouri,USA,b2e3aca4cd363477
UFC 314: Volkanovski vs. Lopes,2025-04-12,Miami,Florida,USA,22f4b6cb6b1bd7fd
UFC Fight Night: Emmett vs. Murphy,2025-04-05,Las Vegas,Nevada,USA,86b30a86664cb6e4
UFC Fight Night: Moreno vs. Erceg,2025-03-29,Mexico City,Distrito Federal,Mexico,0f7210aa8d61af8d
UFC Fight Night: Edwards vs. Brady,2025-03-22,London,England,United Kingdom,cc2ad11b1f9d818b
UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15,Las Vegas,Nevada,USA,39f62b833e4cf126
UFC 313: Pereira vs. Ankalaev,2025-03-08,Las Vegas,Nevada,USA,ca936c67687789e9
UFC Fight Night: Kape vs. Almabayev,2025-03-01,Las Vegas,Nevada,USA,9766ed20b68c7c33
UFC Fight Night: Cejudo vs. Song,2025-02-22,Seattle,Washington,USA,c50ea21fe9ef478d
UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,Las Vegas,Nevada,USA,ce7871949b0ed2bf
UFC 312: Du Plessis vs. Strickland 2,2025-02-08,Sydney,New South Wales,Australia,e6015889f50075d2
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Riyadh,Riyadh,Saudi Arabia,80dbeb1dd5b53e64
UFC 311: Makhachev vs. Moicano,2025-01-18,Inglewood,California,USA,39f68882def7a507
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Las Vegas,Nevada,USA,81ddc98fceb30086
UFC Fight Night: Covington vs. Buckley,2024-12-14,Tampa,Florida,USA,72c9c2eadfc3277e
UFC 310: Pantoja vs. Asakura,2024-12-07,Las Vegas,Nevada,USA,ad23903ef3af7406
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Macau,,China,e955046551f8c7dd
UFC 309: Jones vs. Miocic,2024-11-16,New York City,New York,USA,daff32bc96d1eabf
UFC Fight Night: Magny vs. Prates,2024-11-09,Las Vegas,Nevada,USA,585f9ffdb0cd0466
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Edmonton,Alberta,Canada,3ab0df1ddd5f1dc2
UFC 308: Topuria vs. Holloway,2024-10-26,Abu Dhabi,Abu Dhabi,United Arab Emirates,221b2a3070c7ce3e
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Las Vegas,Nevada,USA,6a0047ac8c99fece
UFC Fight Night: Royval vs. Taira,2024-10-12,Las Vegas,Nevada,USA,5bdcbd8dd681a257
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Salt Lake City,Utah,USA,eee8efec7b951d84
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Paris,Ile-de-France,France,079488710f012779
UFC 306: Riyadh Season Noche UFC,2024-09-14,Las Vegas,Nevada,USA,0c01568b1ac77bff
UFC Fight Night: Burns vs. Brady,2024-09-07,Las Vegas,Nevada,USA,ee0b69e307c857e5
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Las Vegas,Nevada,USA,be8ad887e4d674b0
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Perth,Western Australia,Australia,32ba186f4b0e3267
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Las Vegas,Nevada,USA,2c733e059462c1dc
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Abu Dhabi,Abu Dhabi,United Arab Emirates,fe435e440b5de0ff
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Manchester,England,United Kingdom,026b4f7049085842
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Las Vegas,Nevada,USA,c11036da9162cb5f
