fight_url,fighter_1_url,fighter_2_url,event_url,weight_class,method,round,time,winner
http://ufcstats.com/fight-details/5bcd8abf6da01dae,http://ufcstats.com/fighter-details/881bf86d4cba8578,http://ufcstats.com/fighter-details/4126a78111c0855a,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Middleweight,U-DEC,5,5:00,http://ufcstats.com/fighter-details/881bf86d4cba8578
http://ufcstats.com/fight-details/d14fea43712707f0,http://ufcstats.com/fighter-details/c2299ec916bc7c56,http://ufcstats.com/fighter-details/9c393e836a852f30,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Lightweight,SUB,2,2:56,http://ufcstats.com/fighter-details/c2299ec916bc7c56
http://ufcstats.com/fight-details/0149e875b31e57f8,http://ufcstats.com/fighter-details/476fe566d2df676e,http://ufcstats.com/fighter-details/eabf206b162b3b83,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Light Heavyweight,KO/TKO,1,5:00,http://ufcstats.com/fighter-details/476fe566d2df676e
http://ufcstats.com/fight-details/69b31593175f77ec,http://ufcstats.com/fighter-details/f6ad6a1e4d600e0d,http://ufcstats.com/fighter-details/4bdedbdeedff7d1d,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Lightweight,KO/TKO,2,3:18,http://ufcstats.com/fighter-details/f6ad6a1e4d600e0d
http://ufcstats.com/fight-details/a47123ae6e048f11,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb,http://ufcstats.com/fighter-details/f748267c4ab6c127,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Welterweight,KO/TKO,3,2:02,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb
http://ufcstats.com/fight-details/b53031bf4bd0a330,http://ufcstats.com/fighter-details/e1d40e8782d80bc2,http://ufcstats.com/fighter-details/92aed9d16794f42b,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/e1d40e8782d80bc2
http://ufcstats.com/fight-details/4080b4310d82b42d,http://ufcstats.com/fighter-details/46e2011d92463b7e,http://ufcstats.com/fighter-details/49edd0d90f60fb7d,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Light Heavyweight,KO/TKO,1,4:42,http://ufcstats.com/fighter-details/46e2011d92463b7e
http://ufcstats.com/fight-details/23dbe713c4294c66,http://ufcstats.com/fighter-details/7d8435c56043b0ae,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Heavyweight,KO/TKO,1,2:03,http://ufcstats.com/fighter-details/7d8435c56043b0ae
http://ufcstats.com/fight-details/5cd2dd6075fadcce,http://ufcstats.com/fighter-details/ec13c393d029297d,http://ufcstats.com/fighter-details/2dbc60c52de126d8,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Lightweight,KO/TKO,1,3:21,http://ufcstats.com/fighter-details/ec13c393d029297d
http://ufcstats.com/fight-details/420211200a35c1d1,http://ufcstats.com/fighter-details/8b6e5dc2ba1edbe7,http://ufcstats.com/fighter-details/31dbfbe4e7a6727c,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Welterweight,KO/TKO,1,3:01,http://ufcstats.com/fighter-details/8b6e5dc2ba1edbe7
http://ufcstats.com/fight-details/b3253e2c2d111030,http://ufcstats.com/fighter-details/f96856f9d69fd7e4,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Middleweight,KO/TKO,3,1:43,http://ufcstats.com/fighter-details/f96856f9d69fd7e4
http://ufcstats.com/fight-details/d56a59a4c79cf515,http://ufcstats.com/fighter-details/8f765fd5775a8873,http://ufcstats.com/fighter-details/2caf993f53541fa1,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Welterweight,KO/TKO,1,0:54,http://ufcstats.com/fighter-details/8f765fd5775a8873
http://ufcstats.com/fight-details/a38010639e61885c,http://ufcstats.com/fighter-details/e94085e821bd81de,http://ufcstats.com/fighter-details/9c442aaf149ea982,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Women's Strawweight,SUB,2,1:58,http://ufcstats.com/fighter-details/e94085e821bd81de
http://ufcstats.com/fight-details/2eecf0c36192e40c,http://ufcstats.com/fighter-details/c21f26bbde777573,http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7,http://ufcstats.com/event-details/754968e325d6f60d,Light Heavyweight,KO/TKO,2,2:37,http://ufcstats.com/fighter-details/c21f26bbde777573
http://ufcstats.com/fight-details/58080e8989927500,http://ufcstats.com/fighter-details/cb696ebfb6598724,http://ufcstats.com/fighter-details/def8166ff24bd237,http://ufcstats.com/event-details/754968e325d6f60d,Catch Weight,U-DEC,5,5:00,http://ufcstats.com/fighter-details/cb696ebfb6598724
http://ufcstats.com/fight-details/5538d15c4eeac3b3,http://ufcstats.com/fighter-details/f14cf73e51b29254,http://ufcstats.com/fighter-details/fc08099550072fe4,http://ufcstats.com/event-details/754968e325d6f60d,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/f14cf73e51b29254
http://ufcstats.com/fight-details/ce6bd165bef82bd7,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,http://ufcstats.com/fighter-details/34b96d52db1d26e6,http://ufcstats.com/event-details/754968e325d6f60d,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3
http://ufcstats.com/fight-details/1452c20d964c0a63,http://ufcstats.com/fighter-details/7498b3ac79a3b948,http://ufcstats.com/fighter-details/4729c93ba705a3bf,http://ufcstats.com/event-details/754968e325d6f60d,Welterweight,KO/TKO,1,3:33,http://ufcstats.com/fighter-details/7498b3ac79a3b948
http://ufcstats.com/fight-details/0b1460c666e66d39,http://ufcstats.com/fighter-details/b2a78df161bd67f9,http://ufcstats.com/fighter-details/8c1ca54b5089d199,http://ufcstats.com/event-details/754968e325d6f60d,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/b2a78df161bd67f9
http://ufcstats.com/fight-details/1ab1ed99a4bc5494,http://ufcstats.com/fighter-details/814e5233e2acf2ee,http://ufcstats.com/fighter-details/bb2c3c3a466224af,http://ufcstats.com/event-details/754968e325d6f60d,Flyweight,KO/TKO,2,4:35,http://ufcstats.com/fighter-details/814e5233e2acf2ee
http://ufcstats.com/fight-details/f55749e32ce5c6f3,http://ufcstats.com/fighter-details/a13d755965a4ec9f,http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed,http://ufcstats.com/event-details/754968e325d6f60d,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/a13d755965a4ec9f
http://ufcstats.com/fight-details/130e622d4d2aee3e,http://ufcstats.com/fighter-details/d6c0cdd7e467c440,http://ufcstats.com/fighter-details/595db60957de51d3,http://ufcstats.com/event-details/754968e325d6f60d,Middleweight,KO/TKO,1,0:43,http://ufcstats.com/fighter-details/d6c0cdd7e467c440
http://ufcstats.com/fight-details/f0b7caa90faf47e5,http://ufcstats.com/fighter-details/3f11fd1751fa83b1,http://ufcstats.com/fighter-details/7b3503352cd53abb,http://ufcstats.com/event-details/754968e325d6f60d,Featherweight,KO/TKO,1,0:37,http://ufcstats.com/fighter-details/3f11fd1751fa83b1
http://ufcstats.com/fight-details/2f6065fe0804d1d8,http://ufcstats.com/fighter-details/a474aade8eb3a8f0,http://ufcstats.com/fighter-details/86bace9e4ad85542,http://ufcstats.com/event-details/754968e325d6f60d,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/a474aade8eb3a8f0
http://ufcstats.com/fight-details/7fc5f1dc2df84ac7,http://ufcstats.com/fighter-details/02f484417a6fa69d,http://ufcstats.com/fighter-details/709fadb644ee3f51,http://ufcstats.com/event-details/754968e325d6f60d,Light Heavyweight,SUB,1,2:45,http://ufcstats.com/fighter-details/02f484417a6fa69d
http://ufcstats.com/fight-details/12cedec11b37ddc0,http://ufcstats.com/fighter-details/767755fd74662dbf,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,http://ufcstats.com/event-details/421ccfc6ddb17958,Middleweight,U-DEC,5,5:00,http://ufcstats.com/fighter-details/767755fd74662dbf
http://ufcstats.com/fight-details/9fa6a029f7f8241c,http://ufcstats.com/fighter-details/396fe87b84ac2e1c,http://ufcstats.com/fighter-details/5537efc6e496dd84,http://ufcstats.com/event-details/421ccfc6ddb17958,Featherweight,KO/TKO,1,3:21,http://ufcstats.com/fighter-details/396fe87b84ac2e1c
http://ufcstats.com/fight-details/42585ce706c086de,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,http://ufcstats.com/fighter-details/b997be68943010fc,http://ufcstats.com/event-details/421ccfc6ddb17958,Welterweight,KO/TKO,1,4:59,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3
http://ufcstats.com/fight-details/9939d7073462e07e,http://ufcstats.com/fighter-details/a67d071163962af8,http://ufcstats.com/fighter-details/13a0275fa13c4d26,http://ufcstats.com/event-details/421ccfc6ddb17958,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/a67d071163962af8
http://ufcstats.com/fight-details/82338ba457fbe87f,http://ufcstats.com/fighter-details/c96d9178c9ed9e62,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,http://ufcstats.com/event-details/421ccfc6ddb17958,Flyweight,SUB,2,4:39,http://ufcstats.com/fighter-details/c96d9178c9ed9e62
http://ufcstats.com/fight-details/5efd13a12be06706,http://ufcstats.com/fighter-details/d1feea7a4bdcd503,http://ufcstats.com/fighter-details/64b12fe31be7560c,http://ufcstats.com/event-details/421ccfc6ddb17958,Middleweight,SUB,2,2:01,http://ufcstats.com/fighter-details/d1feea7a4bdcd503
http://ufcstats.com/fight-details/5b880d10b0ed7acc,http://ufcstats.com/fighter-details/0d65c432720accb9,http://ufcstats.com/fighter-details/6ac9bc2953c47345,http://ufcstats.com/event-details/421ccfc6ddb17958,Middleweight,KO/TKO,1,3:03,http://ufcstats.com/fighter-details/0d65c432720accb9
http://ufcstats.com/fight-details/a2eafd9e1d5031b1,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7,http://ufcstats.com/fighter-details/6a1901c62ab3870f,http://ufcstats.com/event-details/421ccfc6ddb17958,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7
http://ufcstats.com/fight-details/1d8dc0fb5d47357f,http://ufcstats.com/fighter-details/262a7d06203657e6,http://ufcstats.com/fighter-details/971246648e162f0d,http://ufcstats.com/event-details/421ccfc6ddb17958,Lightweight,KO/TKO,1,4:58,http://ufcstats.com/fighter-details/262a7d06203657e6
http://ufcstats.com/fight-details/bc63f1b2e52f603e,http://ufcstats.com/fighter-details/7cbf7c78d3b34218,http://ufcstats.com/fighter-details/64a50dad704d1d49,http://ufcstats.com/event-details/421ccfc6ddb17958,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/7cbf7c78d3b34218
