fighter_url,fight_url,Sig. str,Sig. str. %,Head,Body,Leg,Distance,Clinch,Ground
http://ufcstats.com/fighter-details/881bf86d4cba8578,http://ufcstats.com/fight-details/5bcd8abf6da01dae,81 of 162,50%,53 of 118,14 of 26,14 of 18,79 of 160,2 of 2,0 of 0
http://ufcstats.com/fighter-details/4126a78111c0855a,http://ufcstats.com/fight-details/5bcd8abf6da01dae,66 of 166,39%,39 of 109,14 of 38,13 of 19,59 of 159,7 of 7,0 of 0
http://ufcstats.com/fighter-details/c2299ec916bc7c56,http://ufcstats.com/fight-details/d14fea43712707f0,17 of 38,44%,9 of 26,8 of 12,0 of 0,9 of 26,3 of 3,5 of 9
http://ufcstats.com/fighter-details/9c393e836a852f30,http://ufcstats.com/fight-details/d14fea43712707f0,5 of 17,29%,4 of 14,1 of 3,0 of 0,5 of 17,0 of 0,0 of 0
http://ufcstats.com/fighter-details/476fe566d2df676e,http://ufcstats.com/fight-details/0149e875b31e57f8,22 of 36,61%,18 of 30,0 of 0,4 of 6,10 of 17,0 of 0,12 of 19
http://ufcstats.com/fighter-details/eabf206b162b3b83,http://ufcstats.com/fight-details/0149e875b31e57f8,6 of 14,42%,0 of 4,2 of 3,4 of 7,5 of 13,1 of 1,0 of 0
http://ufcstats.com/fighter-details/4bdedbdeedff7d1d,http://ufcstats.com/fight-details/69b31593175f77ec,38 of 99,38%,26 of 76,8 of 19,4 of 4,34 of 85,0 of 0,4 of 14
http://ufcstats.com/fighter-details/f6ad6a1e4d600e0d,http://ufcstats.com/fight-details/69b31593175f77ec,57 of 136,41%,52 of 128,2 of 3,3 of 5,23 of 84,2 of 3,32 of 49
http://ufcstats.com/fighter-details/1d2d98ddd05b38fb,http://ufcstats.com/fight-details/a47123ae6e048f11,45 of 105,42%,40 of 94,5 of 11,0 of 0,36 of 94,5 of 7,4 of 4
http://ufcstats.com/fighter-details/f748267c4ab6c127,http://ufcstats.com/fight-details/a47123ae6e048f11,33 of 135,24%,27 of 128,6 of 7,0 of 0,23 of 116,10 of 19,0 of 0
http://ufcstats.com/fighter-details/e1d40e8782d80bc2,http://ufcstats.com/fight-details/b53031bf4bd0a330,49 of 114,42%,19 of 69,17 of 29,13 of 16,37 of 102,12 of 12,0 of 0
http://ufcstats.com/fighter-details/92aed9d16794f42b,http://ufcstats.com/fight-details/b53031bf4bd0a330,34 of 96,35%,14 of 62,16 of 28,4 of 6,27 of 89,7 of 7,0 of 0
http://ufcstats.com/fighter-details/46e2011d92463b7e,http://ufcstats.com/fight-details/4080b4310d82b42d,17 of 43,39%,14 of 38,0 of 1,3 of 4,4 of 11,0 of 0,13 of 32
http://ufcstats.com/fighter-details/49edd0d90f60fb7d,http://ufcstats.com/fight-details/4080b4310d82b42d,5 of 14,35%,2 of 10,1 of 2,2 of 2,5 of 14,0 of 0,0 of 0
