fighter_name,fighter_url,height,weight,reach,stance,dob,record,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Mark Choinski,http://ufcstats.com/fighter-details/001eb2ab0f30e7ea,"5' 8""",155 lbs.,"69""",Orthodox,"Oct 22, 1995",8-1-0,3.87,50%,7.33,,2.00,18%,0%,0.0
Jiri Prochazka,http://ufcstats.com/fighter-details/009341ed974bad72,"6' 3""",205 lbs.,"80""",Orthodox,"Oct 14, 1992",31-5-1,5.74,55%,5.70,,0.60,60%,68%,0.2
Denis Tiuliulin,http://ufcstats.com/fighter-details/0112352cb32f5026,"6' 1""",185 lbs.,"77""",Orthodox,"May 17, 1988",10-10-0 (1 NC),3.61,41%,5.23,,0.96,42%,72%,0.0
Gabriel Bonfim,http://ufcstats.com/fighter-details/01641ba5df0c69b0,"6' 1""",170 lbs.,"72""",Orthodox,"Aug 20, 1997",18-1-0,4.54,45%,3.53,,4.03,55%,76%,1.6
Shavkat Rakhmonov,http://ufcstats.com/fighter-details/01afe0916a40c7c5,"6' 1""",170 lbs.,"77""",Orthodox,"Oct 23, 1994",19-0-0,3.25,60%,2.17,,1.40,25%,85%,1.2
Michael Aswell,http://ufcstats.com/fighter-details/01c9e4013afce141,"5' 8""",145 lbs.,"69""",Orthodox,"Sep 27, 2000",10-3-0,9.10,44%,7.93,,0.00,0%,57%,0.0
Adrian Yanez,http://ufcstats.com/fighter-details/0232cabbc30a2372,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 29, 1993",17-6-0,6.23,41%,5.75,,0.00,0%,81%,0.0
Dustin Poirier,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",30-10-0 (1 NC),5.24,50%,4.57,,1.15,35%,64%,1.2
Rayanne dos Santos,http://ufcstats.com/fighter-details/02bb48869eb7ac8f,"5' 2""",115 lbs.,"62""",Orthodox,"Jun 08, 1995",14-9-0,4.57,40%,6.47,,0.50,14%,80%,0.0
Uran Satybaldiev,http://ufcstats.com/fighter-details/02f484417a6fa69d,"6' 4""",205 lbs.,"79""",Orthodox,"Aug 10, 1994",9-1-0,2.14,25%,3.66,,0.00,0%,50%,1.7
Zachary Scroggin,http://ufcstats.com/fighter-details/03dee485905dbc9f,"6' 3""",170 lbs.,"74""",Orthodox,"Mar 09, 1996",7-1-0,2.40,37%,8.80,,0.00,0%,0%,0.0
Arnold Allen,http://ufcstats.com/fighter-details/040a74bb0a465c54,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",20-3-0,3.45,41%,2.88,,0.93,47%,75%,0.3
Casey O'Neill,http://ufcstats.com/fighter-details/04835018f90b118c,"5' 6""",125 lbs.,"69""",Orthodox,"Oct 07, 1997",10-2-0,7.89,52%,5.65,,1.45,34%,70%,0.7
Rob Font,http://ufcstats.com/fighter-details/05339613bf8e9808,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",22-8-0,5.49,46%,3.67,,0.79,34%,42%,0.4
Henry Cejudo,http://ufcstats.com/fighter-details/056c493bbd76a918,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",16-5-0,3.82,47%,3.46,,1.84,31%,76%,0.1
Andrea Lee,http://ufcstats.com/fighter-details/05fa626cb33d15b8,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",13-11-0,4.62,45%,3.91,,1.65,52%,53%,0.6
Chris Padilla,http://ufcstats.com/fighter-details/06626b6287e1ae1e,"5' 9""",155 lbs.,"74""",Orthodox,"Sep 14, 1995",16-6-0,4.13,51%,3.68,,1.56,30%,100%,0.5
Shara Magomedov,http://ufcstats.com/fighter-details/06734ca9d88dec3a,"6' 2""",185 lbs.,"73""",Orthodox,"May 16, 1994",16-1-0,5.93,62%,3.85,,0.00,0%,71%,0.0
Ailin Perez,http://ufcstats.com/fighter-details/06e4245d16fc5315,"5' 5""",135 lbs.,"66""",Switch,"Oct 05, 1994",12-2-0,3.10,54%,1.79,,4.68,46%,66%,0.2
Daria Zhelezniakova,http://ufcstats.com/fighter-details/07047eb7d17fb0a2,"5' 9""",135 lbs.,"68""",Orthodox,"Jan 23, 1996",10-2-0,4.75,41%,2.83,,0.44,100%,50%,0.0
Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",35-11-0 (1 NC),3.41,55%,3.26,,2.23,39%,56%,2.6
CJ Vergara,http://ufcstats.com/fighter-details/077e3ace32b72be9,"5' 6""",125 lbs.,"68""",Orthodox,"Jun 18, 1991",12-7-1,5.02,56%,4.69,,0.00,0%,60%,0.2
Billy Elekana,http://ufcstats.com/fighter-details/07a74004d964c7f4,"6' 3""",205 lbs.,"77""",Southpaw,"May 28, 1995",8-2-0,2.34,57%,3.18,,0.64,25%,0%,0.0
Jon Jones,http://ufcstats.com/fighter-details/07f72a2a7591b409,"6' 4""",248 lbs.,"84""",Orthodox,"Jul 19, 1987",28-1-0 (1 NC),4.38,58%,2.24,,1.89,45%,95%,0.5
Carlos Vera,http://ufcstats.com/fighter-details/07f959e6596307bb,"5' 6""",135 lbs.,"69""",Orthodox,"Nov 05, 1987",12-4-0,1.53,57%,2.79,,0.00,0%,25%,1.6
Jarno Errens,http://ufcstats.com/fighter-details/082eba4cd80f736f,"5' 11""",145 lbs.,"73""",Orthodox,"Nov 17, 1994",14-6-1,3.29,44%,3.29,,0.00,0%,33%,0.3
Volkan Oezdemir,http://ufcstats.com/fighter-details/0845c81e37d3bcb3,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 19, 1989",20-8-0,4.95,48%,4.22,,0.50,29%,80%,0.1
Beneil Dariush,http://ufcstats.com/fighter-details/08af939f41b5a57b,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",23-6-1,3.78,49%,2.61,,2.12,38%,82%,0.8
Anthony Hernandez,http://ufcstats.com/fighter-details/093e1f5bb73850be,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993",15-2-0 (1 NC),4.59,62%,2.53,,6.46,48%,68%,1.8
Marcus Buchecha,http://ufcstats.com/fighter-details/095854a135e6db55,"6' 2""",255 lbs.,"77""",Orthodox,"Jan 08, 1990",5-2-0,1.60,40%,2.73,,1.00,9%,0%,0.0
Rafael Cerqueira,http://ufcstats.com/fighter-details/09a4447655fd4b7b,"6' 3""",205 lbs.,"76""",Southpaw,"Mar 15, 1990",11-3-0,1.61,44%,4.88,,0.00,0%,40%,0.0
Jimmy Flick,http://ufcstats.com/fighter-details/09e62c450e754913,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",17-9-0,1.67,50%,4.70,,2.36,33%,0%,3.5
Jack Hermansson,http://ufcstats.com/fighter-details/0a1942069c9ad6b6,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",24-9-0,5.13,45%,3.70,,1.50,29%,80%,0.4
Bruno Lopes,http://ufcstats.com/fighter-details/0abcf6bc47191219,"6' 2""",205 lbs.,"74""",Orthodox,"Apr 24, 1993",14-2-0,2.81,43%,3.38,,2.51,33%,100%,0.0
Trevor Peek,http://ufcstats.com/fighter-details/0bc697c5936a2d0a,"5' 9""",145 lbs.,"70""",Switch,"Jan 09, 1995",9-3-0 (1 NC),4.39,53%,3.88,,1.45,50%,52%,0.0
Mitch Raposo,http://ufcstats.com/fighter-details/0be6776db31d98ec,"5' 5""",125 lbs.,"64""",Switch,"Oct 16, 1998",9-3-0,1.62,33%,3.20,,3.54,37%,50%,0.0
Lukasz Brzeski,http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19,"6' 3""",236 lbs.,"78""",Orthodox,"May 17, 1992",9-7-1 (1 NC),4.90,50%,3.65,,0.41,33%,35%,0.4
Brad Tavares,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",21-12-0,3.42,43%,3.36,,0.73,26%,81%,0.0
Robert Valentin,http://ufcstats.com/fighter-details/0cd0456d6029cec2,"6' 2""",185 lbs.,"77""",Orthodox,"Mar 31, 1995",11-6-0 (1 NC),1.13,56%,2.83,,0.00,0%,55%,1.3
